StudentID,Grade,Term,FeesDue,FeesPaid,PaymentStatus,PaymentDate,Balance,DaysLate
SM2030,Form 5,Term 2,728,249,Partial,2026-04-13,479,0
SM2031,Form 4,Term 3,258,795,Paid,2026-01-07,0,0
SM2032,Form 2,Term 3,525,640,Paid,2026-03-09,0,0
SM2033,Form 2,Term 2,683,213,Paid,2026-03-08,470,0
SM2034,Form 6,Term 1,770,400,Unpaid,2026-02-08,370,0
SM2035,Form 2,Term 2,341,495,Late,2026-02-11,0,27
SM2036,Form 4,Term 3,629,540,Partial,2026-04-25,89,0
SM2037,Form 4,Term 3,722,474,Paid,2026-01-01,248,0
SM2038,Form 2,Term 1,859,878,Paid,2026-01-21,0,0
SM2039,Form 5,Term 1,282,275,Paid,2026-02-25,7,0
SM2040,Form 1,Term 3,592,740,Unpaid,2026-01-25,0,0
SM2041,Form 1,Term 3,302,361,Late,2026-01-10,0,16
SM2042,Form 3,Term 3,448,70,Unpaid,2026-02-22,378,0
SM2043,Form 5,Term 1,796,171,Partial,2026-01-31,625,0
SM2044,Form 1,Term 1,612,314,Partial,2026-03-19,298,0
SM2045,Form 1,Term 1,560,149,Paid,2026-03-04,411,0
SM2046,Form 3,Term 1,827,716,Late,2026-04-09,111,3
SM2047,Form 1,Term 3,485,718,Partial,2026-01-25,0,0
SM2048,Form 3,Term 2,252,99,Partial,2026-03-05,153,0
SM2049,Form 2,Term 3,379,469,Paid,2026-02-01,0,0
SM2050,Form 3,Term 1,569,323,Paid,2026-01-31,246,0
SM2051,Form 2,Term 2,422,639,Paid,2026-04-11,0,0
SM2052,Form 1,Term 1,351,774,Late,2026-01-08,0,21
SM2053,Form 1,Term 3,862,498,Late,2026-03-03,364,11
SM2054,Form 3,Term 2,634,626,Partial,2026-02-21,8,0
SM2055,Form 1,Term 1,849,783,Paid,2026-01-16,66,0
SM2056,Form 2,Term 3,290,229,Partial,2026-04-22,61,0
SM2057,Form 1,Term 1,356,532,Paid,2026-03-24,0,0
SM2058,Form 1,Term 2,598,864,Paid,2026-02-04,0,0
SM2059,Form 1,Term 2,289,252,Paid,2026-03-21,37,0
SM2060,Form 2,Term 2,428,400,Partial,2026-01-25,28,0
SM2061,Form 5,Term 2,840,396,Paid,2026-01-15,444,0
SM2062,Form 5,Term 2,345,409,Late,2026-04-05,0,14
SM2063,Form 2,Term 2,332,686,Paid,2026-04-03,0,0
SM2064,Form 2,Term 2,395,839,Partial,2026-02-10,0,0
SM2065,Form 3,Term 2,516,769,Unpaid,2026-04-09,0,0
SM2066,Form 2,Term 2,306,609,Paid,2026-03-21,0,0
SM2067,Form 1,Term 1,278,893,Paid,2026-02-24,0,0
SM2068,Form 1,Term 3,673,372,Partial,2026-04-16,301,0
SM2069,Form 3,Term 3,794,163,Paid,2026-01-16,631,0
SM2070,Form 4,Term 3,570,397,Unpaid,2026-01-13,173,0
SM2071,Form 3,Term 2,618,589,Paid,2026-02-17,29,0
SM2072,Form 3,Term 2,557,288,Late,2026-04-23,269,13
SM2073,Form 2,Term 3,702,152,Partial,2026-04-13,550,0
SM2074,Form 3,Term 2,267,166,Unpaid,2026-01-19,101,0
SM2075,Form 1,Term 3,636,307,Partial,2026-01-05,329,0
SM2076,Form 3,Term 3,854,491,Paid,2026-02-11,363,0
SM2077,Form 2,Term 3,777,167,Paid,2026-04-26,610,0
SM2078,Form 3,Term 3,499,480,Late,2026-04-14,19,5
SM2079,Form 1,Term 2,350,831,Paid,2026-04-27,0,0
SM2080,Form 4,Term 3,628,159,Paid,2026-02-03,469,0
SM2081,Form 3,Term 1,517,86,Late,2026-04-30,431,3
SM2082,Form 3,Term 3,250,40,Partial,2026-04-26,210,0
SM2083,Form 2,Term 3,724,735,Paid,2026-02-26,0,0
SM2084,Form 6,Term 3,313,542,Late,2026-02-28,0,17
SM2085,Form 1,Term 3,280,54,Paid,2026-02-19,226,0
SM2086,Form 1,Term 2,556,882,Unpaid,2026-02-05,0,0
SM2087,Form 1,Term 2,336,734,Paid,2026-03-04,0,0
SM2088,Form 1,Term 1,493,454,Paid,2026-04-09,39,0
SM2089,Form 5,Term 2,364,887,Paid,2026-02-13,0,0
SM2090,Form 1,Term 2,704,835,Partial,2026-03-15,0,0
SM2091,Form 3,Term 2,507,342,Paid,2026-02-24,165,0
SM2092,Form 3,Term 2,435,846,Partial,2026-03-05,0,0
SM2093,Form 2,Term 3,295,424,Paid,2026-02-14,0,0
SM2094,Form 1,Term 2,356,89,Partial,2026-01-31,267,0
SM2095,Form 4,Term 1,495,525,Unpaid,2026-02-26,0,0
SM2096,Form 2,Term 2,565,64,Paid,2026-02-22,501,0
SM2097,Form 3,Term 2,251,759,Paid,2026-04-03,0,0
SM2098,Form 3,Term 3,680,211,Paid,2026-03-19,469,0
SM2099,Form 3,Term 3,511,141,Partial,2026-04-06,370,0
SM2100,Form 3,Term 3,718,642,Unpaid,2026-04-07,76,0
SM2101,Form 2,Term 1,409,436,Paid,2026-01-02,0,0
SM2102,Form 2,Term 3,732,455,Partial,2026-04-15,277,0
SM2103,Form 1,Term 3,337,305,Paid,2026-02-23,32,0
SM2104,Form 6,Term 2,812,332,Unpaid,2026-02-15,480,0
SM2105,Form 1,Term 1,346,662,Paid,2026-04-26,0,0
SM2106,Form 1,Term 1,840,68,Paid,2026-03-02,772,0
SM2107,Form 1,Term 1,841,4,Paid,2026-02-20,837,0
SM2108,Form 5,Term 3,608,784,Paid,2026-03-29,0,0
SM2109,Form 2,Term 3,294,546,Unpaid,2026-01-07,0,0
SM2110,Form 3,Term 3,266,7,Partial,2026-04-14,259,0
SM2111,Form 5,Term 1,330,388,Unpaid,2026-04-22,0,0
SM2112,Form 3,Term 1,838,317,Late,2026-01-26,521,14
SM2113,Form 2,Term 3,502,32,Paid,2026-02-02,470,0
SM2114,Form 5,Term 1,696,598,Paid,2026-03-04,98,0
SM2115,Form 3,Term 3,711,490,Paid,2026-04-23,221,0
SM2116,Form 1,Term 1,392,568,Late,2026-01-29,0,27
SM2117,Form 4,Term 2,407,399,Partial,2026-04-16,8,0
SM2118,Form 4,Term 1,411,66,Paid,2026-01-20,345,0
SM2119,Form 2,Term 1,379,558,Paid,2026-01-04,0,0
SM2120,Form 1,Term 2,891,4,Paid,2026-01-15,887,0
SM2121,Form 3,Term 1,753,116,Paid,2026-01-18,637,0
SM2122,Form 4,Term 3,615,596,Partial,2026-01-23,19,0
SM2123,Form 2,Term 1,299,133,Paid,2026-04-12,166,0
SM2124,Form 2,Term 1,839,675,Paid,2026-01-12,164,0
SM2125,Form 2,Term 2,677,179,Partial,2026-01-02,498,0
SM2126,Form 1,Term 3,531,524,Paid,2026-01-03,7,0
SM2127,Form 3,Term 3,509,25,Partial,2026-04-15,484,0
SM2128,Form 2,Term 2,479,518,Paid,2026-04-13,0,0
SM2129,Form 3,Term 3,585,852,Paid,2026-04-14,0,0
SM2130,Form 2,Term 1,623,249,Paid,2026-02-18,374,0
SM2131,Form 2,Term 1,425,671,Late,2026-04-06,0,10
SM2132,Form 1,Term 1,347,224,Paid,2026-03-10,123,0
SM2133,Form 6,Term 1,527,326,Paid,2026-01-30,201,0
SM2134,Form 1,Term 2,658,772,Paid,2026-01-16,0,0
SM2135,Form 2,Term 3,555,150,Unpaid,2026-04-09,405,0
SM2136,Form 3,Term 1,613,630,Paid,2026-01-28,0,0
SM2137,Form 1,Term 3,485,110,Paid,2026-03-27,375,0
SM2138,Form 5,Term 3,807,837,Paid,2026-03-16,0,0
SM2139,Form 1,Term 3,471,554,Paid,2026-01-04,0,0
SM2140,Form 3,Term 3,610,272,Paid,2026-01-11,338,0
SM2141,Form 1,Term 1,283,19,Paid,2026-01-24,264,0
SM2142,Form 3,Term 2,536,318,Paid,2026-01-17,218,0
SM2143,Form 5,Term 3,622,221,Partial,2026-04-28,401,0
SM2144,Form 3,Term 1,276,633,Paid,2026-02-17,0,0
SM2145,Form 1,Term 2,439,78,Unpaid,2026-04-09,361,0
SM2146,Form 5,Term 2,310,13,Paid,2026-02-08,297,0
SM2147,Form 3,Term 2,782,860,Paid,2026-03-31,0,0
SM2148,Form 2,Term 2,533,125,Paid,2026-04-05,408,0
SM2149,Form 4,Term 3,366,55,Paid,2026-03-29,311,0
SM2150,Form 1,Term 1,804,705,Paid,2026-03-12,99,0
SM2151,Form 4,Term 2,751,109,Paid,2026-03-03,642,0
SM2152,Form 1,Term 1,630,240,Paid,2026-03-19,390,0
SM2153,Form 5,Term 1,332,12,Unpaid,2026-04-25,320,0
SM2154,Form 1,Term 2,616,262,Partial,2026-02-28,354,0
SM2155,Form 3,Term 3,526,748,Paid,2026-02-13,0,0
SM2156,Form 5,Term 3,895,632,Paid,2026-01-26,263,0
SM2157,Form 6,Term 3,883,863,Paid,2026-04-18,20,0
SM2158,Form 1,Term 3,808,855,Paid,2026-01-07,0,0
SM2159,Form 5,Term 1,861,837,Paid,2026-01-07,24,0
SM2160,Form 2,Term 1,263,710,Partial,2026-02-05,0,0
SM2161,Form 5,Term 3,801,493,Partial,2026-02-15,308,0
SM2162,Form 2,Term 3,253,313,Unpaid,2026-03-14,0,0
SM2163,Form 1,Term 1,883,71,Partial,2026-02-15,812,0
SM2164,Form 3,Term 3,568,77,Partial,2026-01-19,491,0
SM2165,Form 2,Term 2,534,353,Unpaid,2026-03-06,181,0
SM2166,Form 3,Term 3,279,729,Partial,2026-02-18,0,0
SM2167,Form 2,Term 2,704,67,Paid,2026-02-03,637,0
SM2168,Form 1,Term 3,767,273,Paid,2026-01-11,494,0
SM2169,Form 3,Term 2,730,182,Partial,2026-02-10,548,0
SM2170,Form 4,Term 2,564,559,Late,2026-03-20,5,15
SM2171,Form 5,Term 2,388,619,Paid,2026-02-04,0,0
SM2172,Form 2,Term 1,475,450,Paid,2026-04-06,25,0
SM2173,Form 3,Term 2,276,741,Unpaid,2026-02-21,0,0
SM2174,Form 1,Term 3,390,401,Paid,2026-02-15,0,0
SM2175,Form 2,Term 3,271,573,Paid,2026-02-10,0,0
SM2176,Form 4,Term 1,267,137,Partial,2026-03-02,130,0
SM2177,Form 5,Term 2,322,233,Paid,2026-04-26,89,0
SM2178,Form 5,Term 2,652,201,Paid,2026-04-03,451,0
SM2179,Form 3,Term 2,786,270,Partial,2026-04-22,516,0
SM2180,Form 5,Term 1,758,787,Unpaid,2026-03-16,0,0
SM2181,Form 2,Term 1,606,525,Paid,2026-03-06,81,0
SM2182,Form 1,Term 1,261,252,Unpaid,2026-04-07,9,0
SM2183,Form 1,Term 2,711,238,Unpaid,2026-04-27,473,0
SM2184,Form 1,Term 3,803,318,Partial,2026-04-16,485,0
SM2185,Form 1,Term 1,662,788,Unpaid,2026-02-17,0,0
SM2186,Form 1,Term 2,475,528,Paid,2026-04-25,0,0
SM2187,Form 5,Term 3,303,295,Partial,2026-02-13,8,0
SM2188,Form 3,Term 2,536,250,Paid,2026-04-13,286,0
SM2189,Form 5,Term 2,769,603,Paid,2026-04-01,166,0
SM2190,Form 3,Term 2,704,394,Paid,2026-01-15,310,0
SM2191,Form 2,Term 3,694,681,Paid,2026-01-19,13,0
SM2192,Form 2,Term 2,535,898,Paid,2026-02-25,0,0
SM2193,Form 2,Term 1,306,660,Unpaid,2026-03-02,0,0
SM2194,Form 3,Term 2,275,80,Partial,2026-03-28,195,0
SM2195,Form 4,Term 2,742,493,Paid,2026-02-25,249,0
SM2196,Form 1,Term 3,261,829,Unpaid,2026-03-02,0,0
SM2197,Form 3,Term 1,476,240,Paid,2026-03-31,236,0
SM2198,Form 1,Term 3,295,171,Paid,2026-01-24,124,0
SM2199,Form 3,Term 3,390,769,Paid,2026-01-28,0,0
SM2200,Form 2,Term 1,367,571,Paid,2026-03-11,0,0
SM2201,Form 1,Term 3,441,567,Partial,2026-03-05,0,0
SM2202,Form 3,Term 3,257,198,Partial,2026-01-09,59,0
SM2203,Form 1,Term 2,333,46,Late,2026-01-19,287,16
SM2204,Form 4,Term 3,402,831,Partial,2026-03-11,0,0
SM2205,Form 2,Term 1,278,343,Paid,2026-02-15,0,0
SM2206,Form 2,Term 2,825,835,Paid,2026-04-15,0,0
SM2207,Form 2,Term 2,604,596,Late,2026-03-18,8,5
SM2208,Form 1,Term 3,562,252,Partial,2026-03-14,310,0
SM2209,Form 2,Term 1,430,608,Partial,2026-01-25,0,0
SM2210,Form 6,Term 1,427,632,Unpaid,2026-01-26,0,0
SM2211,Form 4,Term 2,738,49,Unpaid,2026-02-16,689,0
SM2212,Form 2,Term 3,746,367,Paid,2026-04-10,379,0
SM2213,Form 2,Term 1,393,823,Partial,2026-02-14,0,0
SM2214,Form 1,Term 3,546,455,Paid,2026-01-28,91,0
SM2215,Form 3,Term 1,528,498,Late,2026-02-10,30,11
SM2216,Form 3,Term 1,401,6,Unpaid,2026-03-17,395,0
SM2217,Form 2,Term 2,295,634,Late,2026-02-26,0,11
SM2218,Form 3,Term 2,470,223,Paid,2026-01-07,247,0
SM2219,Form 3,Term 2,874,270,Paid,2026-01-05,604,0
SM2220,Form 1,Term 3,786,502,Partial,2026-04-11,284,0
SM2221,Form 3,Term 1,318,541,Partial,2026-03-02,0,0
SM2222,Form 4,Term 2,677,70,Late,2026-01-09,607,27
SM2223,Form 1,Term 2,750,484,Paid,2026-01-20,266,0
SM2224,Form 4,Term 2,442,173,Unpaid,2026-02-04,269,0
SM2225,Form 6,Term 3,615,673,Unpaid,2026-02-16,0,0
SM2226,Form 1,Term 1,861,779,Paid,2026-04-15,82,0
SM2227,Form 2,Term 1,416,520,Paid,2026-01-22,0,0
SM2228,Form 2,Term 1,619,97,Paid,2026-03-19,522,0
SM2229,Form 3,Term 1,779,888,Paid,2026-02-11,0,0
SM2230,Form 2,Term 1,393,495,Paid,2026-02-21,0,0
SM2231,Form 2,Term 2,524,415,Unpaid,2026-04-07,109,0
SM2232,Form 2,Term 3,261,341,Paid,2026-04-27,0,0
SM2233,Form 3,Term 1,321,50,Paid,2026-03-27,271,0
SM2234,Form 1,Term 2,759,603,Partial,2026-03-23,156,0
SM2235,Form 6,Term 2,581,361,Paid,2026-02-06,220,0
SM2236,Form 5,Term 2,531,220,Paid,2026-02-24,311,0
SM2237,Form 1,Term 3,422,291,Late,2026-02-08,131,4
SM2238,Form 3,Term 3,311,592,Partial,2026-04-08,0,0
SM2239,Form 5,Term 2,790,811,Paid,2026-03-11,0,0
SM2240,Form 3,Term 3,408,485,Partial,2026-02-01,0,0
SM2241,Form 2,Term 1,691,833,Partial,2026-02-08,0,0
SM2242,Form 4,Term 2,480,455,Partial,2026-03-19,25,0
SM2243,Form 1,Term 1,340,416,Partial,2026-01-13,0,0
SM2244,Form 2,Term 1,387,250,Partial,2026-01-13,137,0
SM2245,Form 1,Term 2,282,872,Paid,2026-04-16,0,0
SM2246,Form 1,Term 3,393,196,Partial,2026-03-01,197,0
SM2247,Form 4,Term 2,761,145,Unpaid,2026-02-22,616,0
SM2248,Form 5,Term 3,272,47,Late,2026-03-04,225,27
SM2249,Form 2,Term 2,713,259,Paid,2026-03-31,454,0
SM2250,Form 1,Term 3,619,664,Paid,2026-02-28,0,0
SM2251,Form 3,Term 3,716,31,Paid,2026-02-02,685,0
SM2252,Form 2,Term 2,802,837,Partial,2026-03-03,0,0
SM2253,Form 2,Term 2,859,531,Late,2026-03-27,328,5
SM2254,Form 1,Term 2,857,116,Unpaid,2026-04-22,741,0
SM2255,Form 2,Term 1,561,733,Paid,2026-03-30,0,0
SM2256,Form 4,Term 2,882,503,Paid,2026-03-25,379,0
SM2257,Form 2,Term 2,611,239,Unpaid,2026-04-29,372,0
SM2258,Form 3,Term 2,615,311,Paid,2026-01-13,304,0
SM2259,Form 3,Term 2,833,856,Paid,2026-01-24,0,0
SM2260,Form 4,Term 3,699,583,Paid,2026-04-11,116,0
SM2261,Form 4,Term 1,280,493,Partial,2026-01-29,0,0
SM2262,Form 4,Term 2,413,234,Partial,2026-01-24,179,0
SM2263,Form 1,Term 3,705,96,Late,2026-02-25,609,20
SM2264,Form 2,Term 1,888,794,Unpaid,2026-01-10,94,0
SM2265,Form 4,Term 2,817,661,Partial,2026-03-22,156,0
SM2266,Form 3,Term 1,484,554,Unpaid,2026-02-07,0,0
SM2267,Form 1,Term 3,898,166,Paid,2026-01-23,732,0
SM2268,Form 1,Term 1,301,813,Late,2026-02-05,0,5
SM2269,Form 2,Term 3,571,476,Late,2026-01-14,95,15
SM2270,Form 2,Term 2,413,468,Late,2026-04-14,0,25
SM2271,Form 4,Term 2,295,829,Paid,2026-03-14,0,0
SM2272,Form 5,Term 2,812,429,Late,2026-01-05,383,21
SM2273,Form 4,Term 3,517,287,Paid,2026-03-15,230,0
SM2274,Form 3,Term 2,783,346,Late,2026-02-17,437,26
SM2275,Form 4,Term 1,524,800,Unpaid,2026-02-05,0,0
SM2276,Form 1,Term 3,786,724,Unpaid,2026-02-10,62,0
SM2277,Form 4,Term 2,728,263,Paid,2026-02-04,465,0
SM2278,Form 1,Term 3,870,551,Partial,2026-02-02,319,0
SM2279,Form 1,Term 3,573,480,Unpaid,2026-01-29,93,0
SM2280,Form 3,Term 3,415,804,Partial,2026-02-08,0,0
SM2281,Form 1,Term 2,449,517,Unpaid,2026-01-04,0,0
SM2282,Form 2,Term 2,853,617,Partial,2026-02-01,236,0
SM2283,Form 1,Term 1,869,241,Unpaid,2026-01-03,628,0
SM2284,Form 1,Term 2,617,689,Late,2026-03-17,0,8
SM2285,Form 1,Term 3,585,127,Paid,2026-01-20,458,0
SM2286,Form 2,Term 1,825,745,Partial,2026-02-25,80,0
SM2287,Form 3,Term 3,653,209,Partial,2026-01-04,444,0
SM2288,Form 1,Term 3,380,147,Paid,2026-01-08,233,0
SM2289,Form 5,Term 2,490,498,Paid,2026-04-13,0,0
SM2290,Form 1,Term 3,506,1,Paid,2026-04-12,505,0
SM2291,Form 3,Term 1,362,100,Paid,2026-01-07,262,0
SM2292,Form 4,Term 2,605,446,Paid,2026-04-22,159,0
SM2293,Form 6,Term 3,507,564,Late,2026-04-08,0,11
SM2294,Form 4,Term 2,299,857,Paid,2026-04-27,0,0
SM2295,Form 2,Term 1,270,230,Late,2026-01-03,40,7
SM2296,Form 2,Term 1,742,459,Partial,2026-04-26,283,0
SM2297,Form 3,Term 1,575,576,Late,2026-03-26,0,21
SM2298,Form 2,Term 2,851,671,Paid,2026-03-14,180,0
SM2299,Form 2,Term 1,831,448,Paid,2026-04-07,383,0
SM2300,Form 3,Term 3,642,789,Partial,2026-01-16,0,0
SM2301,Form 2,Term 2,684,319,Paid,2026-04-28,365,0
SM2302,Form 1,Term 1,565,513,Paid,2026-02-13,52,0
SM2303,Form 3,Term 1,361,49,Paid,2026-01-28,312,0
SM2304,Form 1,Term 2,837,547,Partial,2026-01-16,290,0
SM2305,Form 2,Term 3,429,388,Partial,2026-01-24,41,0
SM2306,Form 5,Term 3,397,525,Paid,2026-02-01,0,0
SM2307,Form 2,Term 2,560,258,Paid,2026-04-11,302,0
SM2308,Form 3,Term 2,274,183,Paid,2026-01-02,91,0
SM2309,Form 1,Term 2,399,871,Unpaid,2026-02-06,0,0
SM2310,Form 3,Term 3,674,607,Paid,2026-03-29,67,0
SM2311,Form 3,Term 2,737,887,Paid,2026-03-18,0,0
SM2312,Form 4,Term 2,407,260,Paid,2026-01-07,147,0
SM2313,Form 2,Term 3,333,490,Partial,2026-02-03,0,0
SM2314,Form 1,Term 1,675,563,Paid,2026-02-20,112,0
SM2315,Form 1,Term 1,512,210,Partial,2026-02-22,302,0
SM2316,Form 2,Term 2,878,514,Paid,2026-04-27,364,0
SM2317,Form 3,Term 2,742,276,Paid,2026-04-19,466,0
SM2318,Form 5,Term 3,579,396,Unpaid,2026-03-05,183,0
SM2319,Form 6,Term 2,541,223,Unpaid,2026-03-11,318,0
SM2320,Form 2,Term 1,507,802,Paid,2026-04-02,0,0
SM2321,Form 1,Term 2,802,201,Late,2026-01-21,601,16
SM2322,Form 4,Term 2,501,440,Paid,2026-02-25,61,0
SM2323,Form 2,Term 2,373,34,Paid,2026-04-02,339,0
SM2324,Form 3,Term 3,723,68,Paid,2026-01-18,655,0
SM2325,Form 3,Term 3,769,647,Paid,2026-03-06,122,0
SM2326,Form 3,Term 2,547,15,Paid,2026-04-27,532,0
SM2327,Form 5,Term 3,369,30,Unpaid,2026-03-18,339,0
SM2328,Form 2,Term 3,774,871,Paid,2026-02-26,0,0
SM2329,Form 1,Term 2,495,184,Paid,2026-03-19,311,0
SM2330,Form 1,Term 3,713,660,Late,2026-02-27,53,10
SM2331,Form 6,Term 2,308,11,Paid,2026-01-19,297,0
SM2332,Form 1,Term 2,884,243,Partial,2026-04-01,641,0
SM2333,Form 1,Term 1,755,829,Unpaid,2026-01-07,0,0
SM2334,Form 3,Term 1,452,824,Unpaid,2026-03-08,0,0
SM2335,Form 2,Term 1,582,301,Unpaid,2026-01-28,281,0
SM2336,Form 3,Term 1,467,70,Partial,2026-04-11,397,0
SM2337,Form 3,Term 3,873,359,Paid,2026-01-23,514,0
SM2338,Form 2,Term 1,326,703,Paid,2026-02-07,0,0
SM2339,Form 1,Term 3,730,292,Partial,2026-01-06,438,0
SM2340,Form 5,Term 3,311,269,Paid,2026-02-01,42,0
SM2341,Form 1,Term 2,829,124,Paid,2026-03-30,705,0
SM2342,Form 2,Term 1,720,1,Paid,2026-02-26,719,0
SM2343,Form 5,Term 1,536,778,Partial,2026-04-11,0,0
SM2344,Form 5,Term 3,440,261,Late,2026-01-02,179,14
SM2345,Form 3,Term 1,509,697,Unpaid,2026-03-27,0,0
SM2346,Form 4,Term 2,787,597,Paid,2026-02-10,190,0
SM2347,Form 3,Term 3,407,533,Paid,2026-03-08,0,0
SM2348,Form 2,Term 3,861,186,Unpaid,2026-04-01,675,0
SM2349,Form 2,Term 2,803,528,Paid,2026-02-10,275,0
SM2350,Form 1,Term 2,434,482,Paid,2026-04-24,0,0
SM2351,Form 2,Term 1,288,382,Late,2026-01-01,0,28
SM2352,Form 2,Term 2,380,163,Partial,2026-01-14,217,0
SM2353,Form 2,Term 3,894,724,Unpaid,2026-02-24,170,0
SM2354,Form 2,Term 2,593,56,Paid,2026-01-23,537,0
SM2355,Form 5,Term 1,489,33,Partial,2026-02-17,456,0
SM2356,Form 1,Term 1,899,819,Late,2026-04-04,80,20
SM2357,Form 1,Term 3,670,681,Paid,2026-04-19,0,0
SM2358,Form 3,Term 3,639,46,Paid,2026-02-17,593,0
SM2359,Form 2,Term 2,306,229,Paid,2026-03-30,77,0
SM2360,Form 4,Term 1,457,722,Paid,2026-02-08,0,0
SM2361,Form 2,Term 3,266,10,Late,2026-01-16,256,13
SM2362,Form 4,Term 1,798,606,Paid,2026-03-25,192,0
SM2363,Form 1,Term 1,720,106,Paid,2026-03-11,614,0
SM2364,Form 6,Term 2,744,696,Unpaid,2026-04-29,48,0
SM2365,Form 6,Term 1,773,492,Paid,2026-04-10,281,0
SM2366,Form 6,Term 2,805,145,Paid,2026-03-20,660,0
SM2367,Form 1,Term 2,472,522,Unpaid,2026-03-10,0,0
SM2368,Form 5,Term 3,251,350,Unpaid,2026-01-04,0,0
SM2369,Form 3,Term 2,540,536,Paid,2026-02-04,4,0
SM2370,Form 2,Term 3,651,460,Partial,2026-04-30,191,0
SM2371,Form 2,Term 1,478,344,Partial,2026-01-26,134,0
SM2372,Form 5,Term 1,637,110,Paid,2026-03-10,527,0
SM2373,Form 1,Term 3,783,309,Unpaid,2026-03-16,474,0
SM2374,Form 4,Term 2,758,770,Paid,2026-04-07,0,0
SM2375,Form 1,Term 2,759,757,Paid,2026-01-10,2,0
SM2376,Form 2,Term 2,314,871,Paid,2026-03-20,0,0
SM2377,Form 2,Term 3,782,370,Late,2026-01-07,412,10
SM2378,Form 5,Term 1,515,156,Unpaid,2026-02-02,359,0
SM2379,Form 1,Term 1,263,259,Partial,2026-02-04,4,0
SM2380,Form 5,Term 1,607,57,Unpaid,2026-02-02,550,0
SM2381,Form 1,Term 3,320,272,Late,2026-04-28,48,13
SM2382,Form 4,Term 2,845,294,Paid,2026-04-04,551,0
SM2383,Form 5,Term 2,424,173,Paid,2026-01-23,251,0
SM2384,Form 4,Term 1,644,557,Paid,2026-03-01,87,0
SM2385,Form 1,Term 2,572,729,Partial,2026-03-21,0,0
SM2386,Form 2,Term 3,816,772,Partial,2026-01-29,44,0
SM2387,Form 3,Term 1,892,702,Paid,2026-02-04,190,0
SM2388,Form 1,Term 3,583,819,Paid,2026-01-23,0,0
SM2389,Form 4,Term 1,274,307,Late,2026-01-24,0,3
SM2390,Form 1,Term 1,859,521,Partial,2026-02-10,338,0
SM2391,Form 3,Term 3,891,689,Late,2026-02-17,202,28
SM2392,Form 3,Term 3,502,350,Partial,2026-03-20,152,0
SM2393,Form 1,Term 2,813,542,Unpaid,2026-04-25,271,0
SM2394,Form 3,Term 2,660,473,Paid,2026-02-06,187,0
SM2395,Form 4,Term 1,772,300,Paid,2026-02-19,472,0
SM2396,Form 3,Term 1,851,626,Paid,2026-03-16,225,0
SM2397,Form 3,Term 3,723,471,Paid,2026-03-08,252,0
SM2398,Form 3,Term 2,555,724,Partial,2026-02-03,0,0
SM2399,Form 2,Term 1,495,668,Partial,2026-01-28,0,0
SM2400,Form 2,Term 1,591,782,Paid,2026-01-08,0,0
SM2401,Form 1,Term 3,403,709,Partial,2026-03-27,0,0
SM2402,Form 1,Term 2,280,398,Paid,2026-03-02,0,0
SM2403,Form 2,Term 2,667,243,Paid,2026-03-22,424,0
SM2404,Form 3,Term 3,361,541,Paid,2026-01-05,0,0
SM2405,Form 2,Term 1,715,257,Paid,2026-02-01,458,0
